List of Scrips blocked for Intraday trading,
SYMBOL,Last Updated
3IINFOTECH,2018-02-01
5PAISA,2018-02-01
63MOONS,2018-02-01
8KMILES,2018-02-01
A2ZINFRA,2018-02-01
AARVEEDEN,2018-02-01
AARTIIND,2020-09-19
ABGSHIP,2018-02-01
ACE,2018-02-01
ADANITRANS,2018-02-01
ADHUNIK,2018-02-01
ADHUNIKIND,2018-02-01
ADLABS,2018-02-01
ADORWELD,2018-02-01
ADSL,2018-02-01
AGARIND,2018-02-01
AGCNET,2018-02-01
AGRITECH,2018-02-01
AHLWEST,2018-02-01
AIAENG,2018-02-01
AIMCOPEST,2018-02-01
AKSHOPTFBR,2018-02-01
ALANKIT,2018-02-01
ALBERTDAVD,2018-02-01
ALCHEM,2018-02-01
ALKALI,2018-02-01
ALLSEC,2018-02-01
ALMONDZ,2018-02-01
ALOKTEXT,2018-02-01
ALPA,2018-02-01
ALPHAGEO,2018-02-01
ALPSINDUS,2018-02-01
AMBIKCO,2018-02-01
AMDIND,2018-02-01
AMTEKAUTO,2018-02-01
ANANTRAJ,2018-02-01
ANDHRACEMT,2018-02-01
ANDHRAPET,2018-02-01
ANGIND,2018-02-01
ANIKINDS,2018-02-01
ANKITMETAL,2018-02-01
ANSALAPI,2018-02-01
ANSALHSG,2018-02-01
ANTGRAPHIC,2018-02-01
APCL,2018-02-01
APEX,2018-02-01
APOLSINHOT,2018-02-01
APTECHT,2018-02-01
ARCHIDPLY,2018-02-01
ARCHIES,2018-02-01
ARCOTECH,2018-02-01
ARIES,2018-02-01
ARIHANT,2018-02-01
ARROWTEX,2018-02-01
ARSHIYA,2018-02-01
ARSSINFRA,2018-02-01
ARVINDREM,2018-02-01
ASAHISONG,2018-02-01
ASAL,2018-02-01
ASHAPURMIN,2018-02-01
ASHIANA,2018-02-01
ASSAMCO,2018-02-01
ATLANTA,2018-02-01
ATLASCYCLE,2018-02-01
ATNINTER,2018-02-01
AURIONPRO,2018-02-01
AUSOMENT,2018-02-01
AUSTRAL,2018-02-01
AUTOLITIND,2018-02-01
AVADHSUGAR,2018-02-01
AVANTIFEED,2018-02-01
AXISCADES,2018-02-01
BAFNAPHARM,2018-02-01
BAGFILMS,2018-02-01
BALPHARMA,2018-02-01
BANG,2018-02-01
BARTRONICS,2018-02-01
BASF,2018-02-01
BBL,2018-02-01
BBTC,2018-02-01
BEARDSELL,2018-02-01
BEPL,2018-02-01
BFINVEST,2018-02-01
BFUTILITIE,2018-02-01
BHAGERIA,2018-02-01
BHANDARI,2018-02-01
BHARATGEAR,2018-02-01
BHARATIDIL,2018-02-01
BHARATRAS,2018-02-01
BHARATWIRE,2018-02-01
BHUSANSTL,2018-02-01
BILENERGY,2018-02-01
BINANIIND,2018-02-01
BIRLAMONEY,2018-02-01
BLISSGVS,2018-02-01
BLKASHYAP,2018-02-01
BLS,2018-02-01
BLUEBLENDS,2018-02-01
BLUECHIP,2018-02-01
BLUECOAST,2018-02-01
BOMDYEING,2018-02-01
BPL,2018-02-01
BRFL,2018-02-01
BROOKS,2018-02-01
BSELINFRA,2018-02-01
BSL,2018-02-01
BSLIMITED,2018-02-01
BURNPUR,2018-02-01
BUTTERFLY,2018-02-01
BVCL,2018-02-01
CALSOFT,2018-02-01
CAMLINFINE,2018-02-01
CANDC,2018-02-01
CANTABIL,2018-02-01
CAPLIPOINT,2018-02-01
CAREERP,2018-02-01
CASTEXTECH,2018-02-01
CCCL,2018-02-01
CCHHL,2018-02-01
CEBBCO,2018-02-01
CELEBRITY,2018-02-01
CENTEXT,2018-02-01
CEREBRAINT,2018-02-01
CGCL,2018-02-01
CHROMATIC,2018-02-01
CIGNITITEC,2018-02-01
CIMMCO,2018-02-01
CINELINE,2018-02-01
CINEVISTA,2018-02-01
CMAHENDRA,2018-02-01
CNOVAPETRO,2018-02-01
COFFEEDAY,2018-02-01
COMPINFO,2018-02-01
COMPUSOFT,2018-02-01
CORALFINAC,2018-02-01
CORDSCABLE,2018-02-01
CRANESSOFT,2018-02-01
CREST,2018-02-01
CTE,2018-02-01
CUPID,2018-02-01
CYBERMEDIA,2018-02-01
CYBERTECH,2018-02-01
DAAWAT,2018-02-01
DALMIASUG,2018-02-01
DBREALTY,2018-02-01
DCM,2018-02-01
DELTACORP,2018-02-01
DEN,2018-02-01
DENORA,2018-02-01
DFMFOODS,2018-02-01
DHARSUGAR,2018-02-01
DHUNINV,2018-02-01
DIAPOWER,2018-02-01
DICIND,2018-02-01
DICIND,2018-02-01
DIGJAMLTD,2018-02-01
DNAMEDIA,2018-02-01
DOLPHINOFF,2018-02-01
DONEAR,2018-02-01
DQE,2018-02-01
DREDGECORP,2018-02-01
DSKULKARNI,2018-02-01
DSSL,2018-02-01
DUCON,2018-02-01
DWARKESH,2018-02-01
EASTSILK,2018-02-01
EASUNREYRL,2018-02-01
ECEIND,2018-02-01
EDL,2018-02-01
EDUCOMP,2018-02-01
EIHAHOTELS,2018-02-01
