101000000010,ABAN OFFSHORE LTD.,0,1,0.05,INE421A01028,0915-1530|1815-1915:17,2021-09-23,,NSE:ABAN-EQ,10,10,10,ABAN
1010000000100,AMARA RAJA BATTERIES LTD.,0,1,0.05,INE885A01032,0915-1530|1815-1915:17,2021-09-23,,NSE:AMARAJABAT-EQ,10,10,100,AMARAJABAT
101000000010074,EMAMI PAPER MILLS LIMITED,0,1,0.05,INE830C01026,0915-1530|1815-1915:17,2021-09-23,,NSE:EMAMIPAP-EQ,10,10,10074,EMAMIPAP
10100000001008,FACT LTD,0,1,0.05,INE188A01015,0915-1530|1815-1915:17,2021-09-23,,NSE:FACT-EQ,10,10,1008,FACT
101000000010097,GUJARAT RAFFIA INDUST LTD,0,1,0.05,INE610B01024,0915-1530|1815-1915:17,2021-09-23,,NSE:GUJRAFFIA-BE,10,10,10097,GUJRAFFIA
101000000010099,GODREJ CONSUMER PRODUCTS,0,1,0.05,INE102D01028,0915-1530|1815-1915:17,2021-09-23,,NSE:GODREJCP-EQ,10,10,10099,GODREJCP
10100000001011,SCHAEFFLER INDIA LIMITED,0,1,0.05,INE513A01014,0915-1530|1815-1915:17,2021-09-23,,NSE:SCHAEFFLER-EQ,10,10,1011,SCHAEFFLER
101000000010159,ORICON ENTERPRISES LTD,0,1,0.05,INE730A01022,0915-1530|1815-1915:17,2021-09-23,,NSE:ORICONENT-EQ,10,10,10159,ORICONENT
101000000010176,SBI-ETF NIFTY 50,4,1,0.01,INF200KA1FS1,0915-1530|1815-1915:17,2021-09-23,,NSE:SETFNIF50-EQ,10,10,10176,SETFNIF50
101000000010185,BALKRISHNA PAPER MILLS L,0,1,0.05,INE875R01011,0915-1530|1815-1915:17,2021-09-23,,NSE:BALKRISHNA-BE,10,10,10185,BALKRISHNA
101000000010188,SHYAM CENTURY FERROUS LTD,0,1,0.05,INE979R01011,0915-1530|1815-1915:17,2021-09-23,,NSE:SHYAMCENT-EQ,10,10,10188,SHYAMCENT
101000000010221,ADANI TRANSMISSION LTD,0,1,0.05,INE931S01010,0915-1530|1815-1915:17,2021-09-23,,NSE:ADANITRANS-BE,10,10,10221,ADANITRANS
10100000001023,FEDERAL BANK LTD,0,1,0.05,INE171A01029,0915-1530|1815-1915:17,2021-09-23,,NSE:FEDERALBNK-EQ,10,10,1023,FEDERALBNK
101000000010238,CONFIDENCE PETRO IND LTD.,0,1,0.05,INE552D01024,0915-1530|1815-1915:17,2021-09-23,,NSE:CONFIPET-EQ,10,10,10238,CONFIPET
101000000010243,SYNGENE INTERNATIONAL LTD,0,1,0.05,INE398R01022,0915-1530|1815-1915:17,2021-09-23,,NSE:SYNGENE-EQ,10,10,10243,SYNGENE
101000000010276,KAYA LIMITED,0,1,0.05,INE587G01015,0915-1530|1815-1915:17,2021-09-23,,NSE:KAYA-EQ,10,10,10276,KAYA
101000000010285,AYM SYNTEX LIMITED,0,1,0.05,INE193B01039,0915-1530|1815-1915:17,2021-09-23,,NSE:AYMSYNTEX-EQ,10,10,10285,AYMSYNTEX
101000000010297,PRAKASH PIPES LIMITED,0,1,0.05,INE050001010,0915-1530|1815-1915:17,2021-09-23,,NSE:PPL-EQ,10,10,10297,PPL
10100000001030,AARON INDUSTRIES LIMITED,0,1,0.05,INE721Z01010,0915-1530|1815-1915:17,2021-09-23,,NSE:AARON-EQ,10,10,1030,AARON
101000000010304,RAMA STEEL TUBES LIMITED,0,1,0.05,INE230R01027,0915-1530|1815-1915:17,2021-09-23,,NSE:RAMASTEEL-BE,10,10,10304,RAMASTEEL
101000000010310,MAJESCO LIMITED,0,1,0.05,INE898S01029,0915-1530|1815-1915:17,2021-09-23,,NSE:MAJESCO-EQ,10,10,10310,MAJESCO
101000000010318,THE P K TEA PROD CO LTD,0,1,0.05,INE431F01018,0915-1530|1815-1915:17,2021-09-23,,NSE:PKTEA-BE,10,10,10318,PKTEA
101000000010358,DIGICONTENT LIMITED,0,1,0.05,INE03JI01017,0915-1530|1815-1915:17,2021-09-23,,NSE:DGCONTENT-BE,10,10,10358,DGCONTENT
101000000010366,HOTEL RUGBY LTD,0,1,0.05,INE275F01019,0915-1530|1815-1915:17,2021-09-23,,NSE:HOTELRUGBY-BE,10,10,10366,HOTELRUGBY
101000000010373,MOHOTA INDUSTRIES LIMITED,0,1,0.05,INE313D01013,0915-1530|1815-1915:17,2021-09-23,,NSE:MOHOTAIND-BE,10,10,10373,MOHOTAIND
